Timestamp(ms),Current(uA),D0-D7
20542,226349.813,11111111
20543,222940.547,11111111
20544,215844.125,11111111
20545,216924.875,11111111
20546,215898.688,11111111
20547,214064.719,11111111
20548,211812.469,11111111
20549,214751.172,11111111
20550,208575.484,11111111
20551,206856.344,11111111
20552,203895.813,11111111
20553,201004.188,11111111
20554,201510.844,11111111
20555,207615.109,11111111
20556,207000.656,11111111
20557,211264.938,11111111
20558,212962.516,11111111
20559,212424.516,11111111
20560,239316.250,11111111
20561,267096.188,11111111
20562,248439.156,11111111
20563,218824.781,11111111
20564,208535.219,11111111
20565,209595.516,11111111
20566,207065.328,11111111
20567,203448.219,11111111
20568,201130.031,11111111
20569,208918.109,11111111
20570,205681.078,11111111
20571,208729.063,11111111
20572,206716.484,11111111
20573,203367.203,11111111
20574,204885.234,11111111
20575,209631.016,11111111
20576,216517.094,11111111
20577,217256.109,11111111
20578,220024.203,11111111
20579,224506.984,11111111
20580,222134.875,11111111
20581,226244.297,11111111
20582,226282.813,11111111
20583,223708.531,11111111
20584,216854.266,11111111
20585,217840.797,11111111
20586,216388.250,11111111
20587,214361.719,11111111
20588,208167.328,11111111
20589,209530.266,11111111
20590,206779.188,11111111
20591,215699.813,11111111
20592,218176.000,11111111
20593,218998.125,11111111
20594,220132.109,11111111
20595,225258.078,11111111
20596,226505.141,11111111
20597,230255.469,11111111
20598,232374.984,11111111
20599,226662.281,11111111
20600,249209.703,11111111
20601,272403.375,11111111
20602,250412.578,11111111
20603,223291.391,11111111
20604,212608.563,11111111
20605,210578.000,11111111
20606,205767.781,11111111
20607,201567.672,11111111
20608,199644.219,11111111
20609,206423.859,11111111
20610,208184.281,11111111
20611,210736.484,11111111
20612,208038.922,11111111
20613,204697.203,11111111
20614,205623.891,11111111
20615,208796.047,11111111
20616,215447.266,11111111
20617,216161.875,11111111
20618,219356.656,11111111
20619,223401.516,11111111
20620,221675.953,11111111
20621,225276.828,11111111
20622,224265.656,11111111
20623,221337.750,11111111
20624,214762.047,11111111
20625,217185.641,11111111
20626,215594.844,11111111
20627,213610.047,11111111
20628,209748.188,11111111
20629,212985.641,11111111
20630,207812.359,11111111
20631,207332.078,11111111
20632,204539.922,11111111
20633,201905.500,11111111
20634,202357.969,11111111
20635,208226.156,11111111
20636,207415.266,11111111
20637,211529.094,11111111
20638,212401.156,11111111
20639,212279.813,11111111
20640,238890.125,11111111
20641,263837.219,11111111
20642,246037.875,11111111
20643,217909.203,11111111
20644,208619.438,11111111
20645,209741.938,11111111
20646,207140.219,11111111
20647,203373.578,11111111
20648,202400.781,11111111
20649,209829.703,11111111
20650,205876.109,11111111
20651,208476.563,11111111
20652,206971.078,11111111
20653,203884.969,11111111
20654,205362.000,11111111
20655,208837.516,11111111
