Timestamp(ms),Current(uA),D0-D7
0,7.212,11111111
1,2.666,11111111
2,0.986,11111111
3,0.364,11111111
4,0.135,11111111
5,0.050,11111111
6,0.018,11111111
7,0.007,11111111
8,0.003,11111111
9,0.001,11111111
10,0.000,11111111
11,0.000,11111111
12,0.000,11111111
13,0.000,11111111
14,0.000,11111111
15,0.000,11111111
16,0.000,11111111
17,0.000,11111111
18,0.000,11111111
19,0.000,11111111
20,0.000,11111111
21,0.000,11111111
22,0.000,11111111
23,0.000,11111111
24,0.000,11111111
25,0.000,11111111
26,0.000,11111111
27,0.000,11111111
28,0.000,11111111
29,0.000,11111111
30,0.000,11111111
31,0.000,11111111
32,0.000,11111111
33,0.000,11111111
34,0.000,11111111
35,0.000,11111111
36,0.000,11111111
37,0.000,11111111
38,0.000,11111111
39,0.000,11111111
40,0.000,11111111
41,0.000,11111111
42,0.000,11111111
43,0.000,11111111
44,0.000,11111111
45,0.000,11111111
46,0.000,11111111
47,0.000,11111111
48,0.000,11111111
49,0.000,11111111
50,0.000,11111111
51,0.000,11111111
52,0.000,11111111
53,0.000,11111111
54,0.000,11111111
55,0.000,11111111
56,0.000,11111111
57,0.000,11111111
58,0.000,11111111
59,0.000,11111111
60,0.000,11111111
61,0.000,11111111
62,0.000,11111111
63,0.000,11111111
64,0.000,11111111
65,0.000,11111111
66,0.000,11111111
67,0.000,11111111
68,0.000,11111111
69,0.000,11111111
70,0.000,11111111
71,0.000,11111111
72,0.000,11111111
73,0.000,11111111
74,0.000,11111111
75,0.000,11111111
76,0.000,11111111
77,0.000,11111111
78,0.000,11111111
79,0.000,11111111
80,0.000,11111111
81,0.000,11111111
82,0.000,11111111
83,0.000,11111111
84,0.000,11111111
85,0.000,11111111
86,0.000,11111111
87,0.000,11111111
88,0.000,11111111
89,0.000,11111111
90,0.000,11111111
91,0.000,11111111
92,0.000,11111111
93,0.000,11111111
94,0.000,11111111
95,0.000,11111111
96,0.000,11111111
97,0.000,11111111
98,0.000,11111111
99,0.000,11111111
100,0.000,11111111
101,0.000,11111111
102,0.000,11111111
103,0.000,11111111
104,0.000,11111111
105,0.000,11111111
106,0.000,11111111
