Timestamp(ms),Current(uA),D0-D7
0,7.374,11111111
1,2.832,11111111
2,1.150,11111111
3,0.521,11111111
4,0.289,11111111
5,0.206,11111111
6,0.171,11111111
7,0.155,11111111
8,0.148,11111111
9,0.151,11111111
10,0.154,11111111
11,0.148,11111111
12,0.153,11111111
13,0.160,11111111
14,0.146,11111111
15,0.161,11111111
16,0.146,11111111
17,0.152,11111111
18,0.148,11111111
19,0.144,11111111
20,0.165,11111111
21,0.159,11111111
22,0.155,11111111
23,0.169,11111111
24,0.162,11111111
25,0.164,11111111
26,0.164,11111111
27,0.159,11111111
28,0.163,11111111
29,0.169,11111111
30,0.171,11111111
31,0.173,11111111
32,0.164,11111111
33,0.162,11111111
34,0.162,11111111
35,0.166,11111111
36,0.164,11111111
37,0.170,11111111
38,0.151,11111111
39,0.160,11111111
40,0.157,11111111
41,0.158,11111111
42,0.160,11111111
43,0.164,11111111
44,0.164,11111111
45,0.161,11111111
46,0.166,11111111
47,0.168,11111111
48,0.168,11111111
49,0.174,11111111
50,0.165,11111111
51,0.161,11111111
52,0.158,11111111
53,0.170,11111111
54,0.172,11111111
55,0.165,11111111
56,0.170,11111111
57,0.170,11111111
58,0.173,11111111
59,0.167,11111111
60,0.171,11111111
61,0.155,11111111
62,0.159,11111111
63,0.154,11111111
64,0.156,11111111
65,0.150,11111111
66,0.152,11111111
67,0.157,11111111
68,0.158,11111111
69,0.163,11111111
70,0.153,11111111
71,0.162,11111111
72,0.174,11111111
73,0.171,11111111
74,0.169,11111111
75,0.168,11111111
76,0.168,11111111
77,0.157,11111111
78,0.155,11111111
79,0.153,11111111
80,0.152,11111111
81,0.157,11111111
82,0.159,11111111
83,0.152,11111111
84,0.160,11111111
85,0.157,11111111
86,0.155,11111111
87,0.154,11111111
88,0.155,11111111
89,0.158,11111111
90,0.158,11111111
91,0.149,11111111
92,0.144,11111111
93,0.150,11111111
94,0.157,11111111
95,0.162,11111111
96,0.149,11111111
97,0.149,11111111
98,0.152,11111111
99,0.164,11111111
100,0.153,11111111
101,0.148,11111111
102,0.163,11111111
103,0.148,11111111
104,0.149,11111111
105,0.159,11111111
106,0.148,11111111
107,0.158,11111111
108,0.157,11111111
109,0.161,11111111
110,0.154,11111111
111,0.147,11111111
112,0.142,11111111
113,0.142,11111111
114,0.140,11111111
115,0.140,11111111
116,0.157,11111111
117,0.148,11111111
118,0.153,11111111
119,0.165,11111111
120,0.162,11111111
121,0.166,11111111
122,0.163,11111111
123,0.157,11111111
124,0.158,11111111
125,0.168,11111111
126,0.158,11111111
127,0.159,11111111
128,0.159,11111111
129,0.165,11111111
130,0.161,11111111
131,0.177,11111111
132,0.164,11111111
133,0.162,11111111
134,0.154,11111111
135,0.159,11111111
136,0.157,11111111
137,0.157,11111111
138,0.168,11111111
139,0.157,11111111
140,0.160,11111111
141,0.157,11111111
142,0.167,11111111
143,0.159,11111111
144,0.171,11111111
145,0.171,11111111
146,0.184,11111111
147,0.180,11111111
148,0.173,11111111
149,0.179,11111111
150,0.175,11111111
151,0.168,11111111
152,0.166,11111111
153,0.173,11111111
154,0.167,11111111
155,0.170,11111111
156,0.166,11111111
157,0.168,11111111
158,0.164,11111111
159,0.173,11111111
160,0.170,11111111
161,0.157,11111111
162,0.169,11111111
163,0.167,11111111
164,0.163,11111111
165,0.163,11111111
166,0.155,11111111
167,0.154,11111111
168,0.158,11111111
169,0.162,11111111
170,0.159,11111111
171,0.155,11111111
172,0.150,11111111
173,0.151,11111111
174,0.156,11111111
175,0.164,11111111
176,0.154,11111111
177,0.154,11111111
178,0.162,11111111
179,0.162,11111111
180,0.144,11111111
181,0.152,11111111
182,0.157,11111111
183,0.154,11111111
184,0.161,11111111
185,0.165,11111111
186,0.154,11111111
187,0.146,11111111
188,0.157,11111111
189,0.149,11111111
